a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_max_mem,b_n_iters,b_time_WS,b_time_all,b_time_opti,b_time_val,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts,hp_ws
1,0.41417307316944996,0.420527562950074,0.4141721599647825,1.4177240812340015,1.4147827727136262,1.4177273044325824,0.4039748468917197,0.4101335140625526,0.40397516545909085,0.5153637683698817,1.754977234431795,0.4891993484695554,1,3871172592,1,52.902262687683105,1716.760320186615,1619.600766658783,29.800946950912476,1663.8580574989319,16,0,0.0,0.0,true,true
2,0.3415732026621672,0.420527562950074,0.3415738166490614,1.3611654336559682,1.4147827727136262,1.3611661353172577,0.34328565751071993,0.4101335140625526,0.34328626875463564,0.5153637683698817,1.754977234431795,0.4891993484695554,1,4765392363,1,0.14278793334960938,2261.4940989017487,2186.3214218616486,60.4129421710968,2261.351310968399,16,0,0.0,0.0,true,false
3,0.41417307316944996,0.420527562950074,0.4141721599647825,1.4177240812340015,1.4147827727136262,1.4177273044325824,0.4039748468917197,0.4101335140625526,0.40397516545909085,0.5153637683698817,1.754977234431795,0.4891993484695554,1,4220549904,1,46.99276661872864,2512.78613781929,2419.5412333011627,30.857344150543213,2465.7933712005615,16,0,0.0,0.0,false,true
4,0.33619040774604203,0.420527562950074,0.33619109905101197,1.318260057089895,1.4147827727136262,1.3182604758430054,0.3406386714475602,0.4101335140625526,0.34063926724055116,0.5153637683698817,1.754977234431795,0.4891993484695554,1,4570349707,1,0.142730712890625,4708.24581694603,4661.318572044373,33.13102388381958,4708.103086233139,16,0,0.0,0.0,false,false
5,0.41417307316944996,0.420527562950074,0.4141721599647825,1.4177240812340015,1.4147827727136262,1.4177273044325824,0.4039748468917197,0.4101335140625526,0.40397516545909085,0.5153637683698817,1.754977234431795,0.4891993484695554,1,3998335840,1,55.46945595741272,1379.1631751060486,1252.678312778473,55.142871141433716,1323.6937191486359,16,0,0.5,0.0,true,true
6,0.4346770344131379,0.420527562950074,0.43467743350685106,1.4148792785354072,1.4147827727136262,1.4148811518966333,0.40944474414965604,0.4101335140625526,0.40944507566956534,0.5153637683698817,1.754977234431795,0.4891993484695554,1,3995341419,1,0.143049955368042,1305.1595211029053,1243.4966878890991,46.10374903678894,1305.0164711475372,16,0,0.5,0.0,true,false
7,0.41417307316944996,0.420527562950074,0.4141721599647825,1.4177240812340015,1.4147827727136262,1.4177273044325824,0.4039748468917197,0.4101335140625526,0.40397516545909085,0.5153637683698817,1.754977234431795,0.4891993484695554,1,3754018224,1,61.8540141582489,1748.8740899562836,1618.834136724472,52.60402584075928,1687.0200757980347,16,0,0.5,0.0,false,true
8,0.34853722726905634,0.420527562950074,0.3485380904207216,1.471876000141204,1.4147827727136262,1.4718784569440273,0.33577415798736054,0.4101335140625526,0.3357765084915165,0.5153637683698817,1.754977234431795,0.4891993484695554,1,4602809147,1,0.1439201831817627,3018.297734975815,2946.4791769981384,56.579689025878906,3018.153814792633,16,0,0.5,0.0,false,false
9,0.42582329860308477,0.420527562950074,0.425822972572627,1.4651237610650885,1.4147827727136262,1.4651250503543594,0.4147952858289703,0.4101335140625526,0.4147952584737733,0.5153637683698817,1.754977234431795,0.4891993484695554,1,3470658592,1,89.22501230239868,790.4564068317413,637.4053428173065,46.02191400527954,701.2313945293427,16,0,0.1,0.0,true,true
10,0.41733701505851717,0.420527562950074,0.41733670035640213,1.4383482973357342,1.4147827727136262,1.4383487649824915,0.41127942544008267,0.4101335140625526,0.4112797240066002,0.5153637683698817,1.754977234431795,0.4891993484695554,1,3910530619,1,0.14414715766906738,909.2451758384705,839.8094816207886,52.03318405151367,909.1010286808014,16,0,0.1,0.0,true,false
11,0.41417307316944996,0.420527562950074,0.4141721599647825,1.4177240812340015,1.4147827727136262,1.4177273044325824,0.4039748468917197,0.4101335140625526,0.40397516545909085,0.5153637683698817,1.754977234431795,0.4891993484695554,1,3954031200,1,64.74102973937988,2180.2066509723663,2039.8886077404022,60.66339707374573,2115.4656212329865,16,0,0.1,0.0,false,true
12,0.31890400860738066,0.420527562950074,0.31890440068831394,1.2750267009563423,1.4147827727136262,1.2750281324563022,0.31625142973809073,0.4101335140625526,0.31625126444810103,0.5153637683698817,1.754977234431795,0.4891993484695554,1,4615868331,1,0.14485597610473633,2459.662276983261,2390.397495985031,53.86335897445679,2459.5174210071564,16,0,0.1,0.0,false,false
13,0.41373693574571657,0.420527562950074,0.4137371269231509,1.4573115795783291,1.4147827727136262,1.4573127485783228,0.41609701456062287,0.4101335140625526,0.4160972980212907,0.5153637683698817,1.754977234431795,0.4891993484695554,1,3700810528,1,72.93572092056274,982.7194180488586,854.6115980148315,39.77087211608887,909.7836971282959,16,0,0.02,0.0,true,true
14,0.4175150952298461,0.420527562950074,0.41751558572952474,1.4196961593039426,1.4147827727136262,1.4196970102444686,0.4102492216924385,0.4101335140625526,0.4102505362642703,0.5153637683698817,1.754977234431795,0.4891993484695554,1,4353735083,1,0.14272689819335938,882.0492899417877,795.1926910877228,70.25099110603333,881.9065630435944,16,0,0.02,0.0,true,false
15,0.41417307316944996,0.420527562950074,0.4141721599647825,1.4177240812340015,1.4147827727136262,1.4177273044325824,0.4039748468917197,0.4101335140625526,0.40397516545909085,0.5153637683698817,1.754977234431795,0.4891993484695554,1,4287504960,1,51.98091387748718,3123.2050421237946,2964.742509126663,90.29909586906433,3071.2241282463074,16,0,0.02,0.0,false,true
