a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_time_WS,b_time_all,b_time_opti,b_time_val,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts,hp_ws,regret_test,regret_val
19,0.428368646,0.420527563,0.428369661,1.438288213,1.414782773,1.438288165,0.415923033,0.410133514,0.415924196,0.515363768,1.754977234,0.489199348,1,1,16.33023691,4398.513881,3536.880216,831.8743641,4382.183644,4,0,0.5,0.1,TRUE,TRUE,0.086995122,0.073276315
37,0.431828598,0.420527563,0.431828879,1.441872387,1.414782773,1.441873402,0.415834894,0.410133514,0.415835342,0.515363768,1.754977234,0.489199348,1,1,28.64716744,2423.92623,2167.615083,214.033982,2395.279063,16,0,0.1,0.1,TRUE,TRUE,0.083535171,0.073364454
23,0.417069345,0.420527563,0.417069865,1.419656414,1.414782773,1.419656961,0.414740033,0.410133514,0.414740416,0.515363768,1.754977234,0.489199348,1,1,15.39360118,4409.594489,3542.73249,837.780833,4394.200888,4,0,0.02,0.1,TRUE,TRUE,0.098294424,0.074459316
21,0.423227308,0.420527563,0.423227802,1.421102931,1.414782773,1.421089778,0.414351277,0.410133514,0.414352692,0.515363768,1.754977234,0.489199348,1,1,16.83094525,4444.134166,3544.415981,868.9109149,4427.303221,4,0,0.1,0.1,TRUE,TRUE,0.09213646,0.074848071
5,0.423228569,0.420527563,0.423224977,1.422352812,1.414782773,1.422353811,0.414253608,0.410133514,0.414254302,0.515363768,1.754977234,0.489199348,1,1,31.85592675,13187.19897,9762.648686,3378.018175,13155.34305,1,0,0.1,0.1,TRUE,TRUE,0.092135199,0.07494574
6,0.423228568,0.420527563,0.423224977,1.422352812,1.414782773,1.422353811,0.414253604,0.410133514,0.414254302,0.515363768,1.754977234,0.489199348,1,1,0.143014431,13325.98199,9884.263623,3427.200039,13325.83897,1,0,0.1,0.1,TRUE,FALSE,0.0921352,0.074945744
29,0.425335776,0.420527563,0.425336034,1.436235293,1.414782773,1.436235762,0.414122674,0.410133514,0.414123144,0.515363768,1.754977234,0.489199348,1,1,17.34572172,2909.22747,2452.427468,425.4600279,2891.881748,8,0,0.1,0.1,TRUE,TRUE,0.090027992,0.075076675
13,0.423458041,0.420527563,0.423457634,1.416371409,1.414782773,1.416379691,0.413470696,0.410133514,0.413471197,0.515363768,1.754977234,0.489199348,1,1,22.90669203,7523.862809,5745.094317,1741.571796,7500.956117,2,0,0.1,0.1,TRUE,TRUE,0.091905727,0.075728652
16,0.422311882,0.420527563,0.422311723,1.443605788,1.414782773,1.443606357,0.413380485,0.410133514,0.4133808,0.515363768,1.754977234,0.489199348,1,1,0.144977808,7460.058922,5712.594754,1733.043138,7459.913944,2,0,0.02,0.1,TRUE,FALSE,0.093051886,0.075818864
31,0.424752908,0.420527563,0.424753668,1.428457841,1.414782773,1.428457656,0.413102268,0.410133514,0.413102769,0.515363768,1.754977234,0.489199348,1,1,16.28827906,2909.955868,2446.888144,432.6416671,2893.667589,8,0,0.02,0.1,TRUE,TRUE,0.09061086,0.07609708
40,0.41581707,0.420527563,0.415817628,1.436076303,1.414782773,1.436075759,0.412874316,0.410133514,0.412875483,0.515363768,1.754977234,0.489199348,1,1,0.144584894,2460.141634,2230.509157,215.780791,2459.997049,16,0,0.02,0.1,TRUE,FALSE,0.099546699,0.076325033
22,0.425198249,0.420527563,0.425198986,1.426442215,1.414782773,1.426442517,0.41267382,0.410133514,0.412673587,0.515363768,1.754977234,0.489199348,1,1,0.14327836,4362.251934,3506.867896,841.5585158,4362.108656,4,0,0.1,0.1,TRUE,FALSE,0.090165519,0.076525528
24,0.417693081,0.420527563,0.417694429,1.425612843,1.414782773,1.425613585,0.412363241,0.410133514,0.412363728,0.515363768,1.754977234,0.489199348,1,1,0.144462585,4338.818887,3491.69697,833.384553,4338.674424,4,0,0.02,0.1,TRUE,FALSE,0.097670688,0.076836107
48,0.414960295,0.420527563,0.414960377,1.459284842,1.414782773,1.4592863,0.412361203,0.410133514,0.412361587,0.515363768,1.754977234,0.489199348,1,1,0.143527985,2116.289244,1929.00855,173.219183,2116.145716,32,0,0.02,0.1,TRUE,FALSE,0.100403473,0.076838146
15,0.429323336,0.420527563,0.429324039,1.43219874,1.414782773,1.432199677,0.412264721,0.410133514,0.412265031,0.515363768,1.754977234,0.489199348,1,1,21.30376363,7370.948979,5576.375123,1759.544076,7349.645216,2,0,0.02,0.1,TRUE,TRUE,0.086040433,0.076934627
47,0.423334015,0.420527563,0.423334485,1.432390722,1.414782773,1.432391809,0.412057815,0.410133514,0.41205828,0.515363768,1.754977234,0.489199348,1,1,146.5824471,2157.273151,1856.988677,138.8713322,2010.690704,32,0,0.02,0.1,TRUE,TRUE,0.092029754,0.077141533
20,0.429149285,0.420527563,0.429150909,1.458313435,1.414782773,1.458313702,0.411973234,0.410133514,0.411973791,0.515363768,1.754977234,0.489199348,1,1,0.145797253,4437.943616,3578.530812,845.6307032,4437.797819,4,0,0.5,0.1,TRUE,FALSE,0.086214484,0.077226115
14,0.423707308,0.420527563,0.423708778,1.431702853,1.414782773,1.431704005,0.411786411,0.410133514,0.411786957,0.515363768,1.754977234,0.489199348,1,1,0.147081614,7521.134726,5746.693495,1760.318131,7520.987644,2,0,0.1,0.1,TRUE,FALSE,0.09165646,0.077412937
39,0.420796579,0.420527563,0.420798788,1.446338686,1.414782773,1.446348804,0.411726382,0.410133514,0.411727601,0.515363768,1.754977234,0.489199348,1,1,28.54406714,2437.239893,2178.943675,216.210186,2408.695826,16,0,0.02,0.1,TRUE,TRUE,0.094567189,0.077472966
32,0.422236216,0.420527563,0.422236662,1.434488727,1.414782773,1.434489418,0.411223527,0.410133514,0.411223952,0.515363768,1.754977234,0.489199348,1,1,0.142238855,2927.588943,2490.210814,423.8687041,2927.446704,8,0,0.02,0.1,TRUE,FALSE,0.093127552,0.077975822
7,0.423452141,0.420527563,0.423452619,1.42148764,1.414782773,1.421488844,0.410857196,0.410133514,0.410857774,0.515363768,1.754977234,0.489199348,1,1,34.30036139,13394.67889,9888.943406,3456.220054,13360.37853,1,0,0.02,0.1,TRUE,TRUE,0.091911627,0.078342153
8,0.423452141,0.420527563,0.423452619,1.42148764,1.414782773,1.421488844,0.410857196,0.410133514,0.410857774,0.515363768,1.754977234,0.489199348,1,1,0.1439116,13434.17459,9964.099185,3455.240604,13434.03068,1,0,0.02,0.1,TRUE,FALSE,0.091911627,0.078342153
56,0.422610411,0.420527563,0.422610901,1.431475919,1.414782773,1.431476572,0.410617071,0.410133514,0.410617442,0.515363768,1.754977234,0.489199348,1,1,0.143853903,2159.351183,2080.464847,65.21735501,2159.207329,64,0,0.02,0.1,TRUE,FALSE,0.092753357,0.078582278
55,0.422610411,0.420527563,0.422610901,1.431475919,1.414782773,1.431476572,0.410617071,0.410133514,0.410617442,0.515363768,1.754977234,0.489199348,1,1,540.2437251,2400.751549,1792.291506,55.11178112,1860.507824,64,0,0.02,0.1,TRUE,TRUE,0.092753357,0.078582278
