a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_train_time,b_train_time_WS,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts
1,0.4165607990339133,0.42052756295008153,0.4172949912140125,1.4142304067719182,1.4147827727147355,1.4272755138737887,0.41013439961590503,0.4101335140625706,0.40587616396915194,0.5153637683698885,1.7549772350927482,0.48919934846955315,16,201,2333.2466039657593,0,2333.2466039657593,64,0.001,0,0.0,true
2,0.4165606540339455,0.42052756295008153,0.4179894569149789,1.4142301386248501,1.4147827727147355,1.4503520156371872,0.4101343928863228,0.4101335140625706,0.40659667447748116,0.5153637683698885,1.7549772350927482,0.48919934846955315,4,201,2288.30996799469,0,2288.30996799469,64,0.003,0,0.0,true
3,0.4243541934648176,0.42052756295008153,0.4243545730773244,1.4573084514828132,1.4147827727147355,1.4573103247257175,0.41085062727542465,0.4101335140625706,0.41085098073271564,0.5153637683698885,1.7549772350927482,0.48919934846955315,201,201,2311.3553969860077,0,2311.3553969860077,64,0.01,0,0.0,true
4,0.4199657925659652,0.42052756295008153,0.4177853571227277,1.473587014960974,1.4147827727147355,1.4772246897468833,0.41288343691667584,0.4101335140625706,0.41178722013847757,0.5153637683698885,1.7549772350927482,0.48919934846955315,157,201,2297.0146210193634,0,2297.0146210193634,64,0.03,0,0.0,true
5,0.41432686961853027,0.42052756295008153,0.40289705462008607,1.484857536689426,1.4147827727147355,1.4883172694043827,0.4128111844983793,0.4101335140625706,0.40214007998076395,0.5153637683698885,1.7549772350927482,0.48919934846955315,49,201,2333.297968864441,0,2333.297968864441,64,0.1,0,0.0,true
6,0.4205275629500853,0.42052756295008153,0.2626413607119389,1.4147827727134241,1.4147827727147355,1.0455384982955351,0.41013351406254017,0.4101335140625706,0.2570481194223444,0.5153637683698885,1.7549772350927482,0.48919934846955315,1,201,2380.6219959259033,0,2380.6219959259033,64,0.3,0,0.0,true
7,0.41656080365614456,0.42052756295008153,0.4172950652821483,1.4142304154486425,1.4147827727147355,1.4272751841820055,0.41013439828097553,0.4101335140625706,0.4058761984132624,0.5153637683698885,1.7549772350927482,0.48919934846955315,16,201,2339.653867959976,0,2339.653867959976,64,0.001,0,1.0e-5,true
8,0.4165606356516782,0.42052756295008153,0.4179891341495181,1.4142301422059913,1.4147827727147355,1.450352314074192,0.410134391981114,0.4101335140625706,0.4065967075045631,0.5153637683698885,1.7549772350927482,0.48919934846955315,4,201,2303.612580060959,0,2303.612580060959,64,0.003,0,1.0e-5,true
9,0.42435405140514515,0.42052756295008153,0.42435442828240455,1.4572854224943104,1.4147827727147355,1.4572883254660387,0.41085057872363606,0.4101335140625706,0.4108509398018785,0.5153637683698885,1.7549772350927482,0.48919934846955315,201,201,2287.1478559970856,0,2287.1478559970856,64,0.01,0,1.0e-5,true
10,0.4198718063199982,0.42052756295008153,0.4192615945666549,1.4736006378916633,1.4147827727147355,1.4772246188859395,0.41288309371912213,0.4101335140625706,0.41131373432098695,0.5153637683698885,1.7549772350927482,0.48919934846955315,157,201,2306.31933093071,0,2306.31933093071,64,0.03,0,1.0e-5,true
