a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_max_mem,b_n_iters,b_time_WS,b_time_all,b_time_opti,b_time_val,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts,hp_ws
1,0.010989641949968704,0.011612474947954513,0.010989658040830503,0.7681844070948762,0.9037599060786601,0.7681843342657473,0.02583346855265677,0.029506482140283872,0.025833482384075145,0.014138887661646584,1.1028923392500452,0.029874075561410803,1,13778595166,1,0.10599994659423828,70.74199986457825,63.604000091552734,1.5260000228881836,70.63599991798401,2,0,0.1,0.1,true,false
2,0.012389337842697874,0.011612474947954513,0.012389360271699876,0.7372202223410111,0.9037599060786601,0.7372204258027635,0.027393993423980686,0.029506482140283872,0.02739401316511072,0.014138887661646584,1.1028923392500452,0.029874075561410803,1,25369795808,1,0.0,105.84899997711182,101.76199984550476,1.3400001525878906,105.84899997711182,4,0,0.1,0.1,true,false
3,0.012388806019806737,0.011612474947954513,0.01238881395299539,0.8206613939699889,0.9037599060786601,0.8206625716393234,0.027323111391657114,0.029506482140283872,0.027323124384470536,0.014138887661646584,1.1028923392500452,0.029874075561410803,1,49365458239,1,0.0,220.0569999217987,215.35800004005432,1.3519999980926514,220.0569999217987,8,0,0.1,0.1,true,false
4,0.010712026849038154,0.011612474947954513,0.010712041093765546,0.9152370606181619,0.9037599060786601,0.915237753138261,0.029559835591128684,0.029506482140283872,0.02955986375117891,0.014138887661646584,1.1028923392500452,0.029874075561410803,1,97491942736,1,0.0,356.69799995422363,351.80800008773804,1.5739998817443848,356.69799995422363,16,0,0.1,0.1,true,false
5,0.011612353270596638,0.011612474947954513,0.011612373482536194,0.9220469368981745,0.9037599060786601,0.922047200528417,0.02955978841766874,0.029506482140283872,0.029559816078711547,0.014138887661646584,1.1028923392500452,0.029874075561410803,1,193238491008,1,0.0,684.4430000782013,678.4020001888275,1.8249998092651367,684.4430000782013,32,0,0.1,0.1,true,false
6,0.011673062684506491,0.011612474947954513,0.011673078502041289,0.9144538850173212,0.9037599060786601,0.9144549663209882,0.029506114416944035,0.029506482140283872,0.029506161666841144,0.014138887661646584,1.1028923392500452,0.029874075561410803,1,382118670678,1,0.0,2329.0810000896454,2320.382999897003,2.2320001125335693,2329.0810000896454,64,0,0.1,0.1,true,false
