a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_time_WS,b_time_all,b_time_opti,b_time_val,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts,hp_ws
1,0.39448988443387045,0.420527562950074,0.3944902514409032,1.105904741913987,1.4147827727136262,1.1059056535293132,0.381192746684226,0.4101335140625526,0.3811930283389897,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,117.34853100776672,21003.94052696228,18972.257482290268,1896.9155139923096,20886.591995954514,2,0,0.0,0.1,true,true
2,0.38677093902768434,0.420527562950074,0.3867710758612073,1.1149581024544268,1.4147827727136262,1.1149582201796786,0.37779167642364975,0.4101335140625526,0.3777918056522531,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14218616485595703,20639.942225933075,18738.75724506378,1884.5704391002655,20639.80003976822,2,0,0.0,0.1,true,false
3,0.4075441018692285,0.420527562950074,0.40754446821970114,1.1621450998117009,1.4147827727136262,1.1621449307263738,0.3952499430006129,0.4101335140625526,0.3952502772982427,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,120.62788200378418,20536.594377994537,18695.018637657166,1704.4674298763275,20415.966495990753,2,0,0.5,0.1,true,true
4,0.42477830519409576,0.420527562950074,0.4247790203653419,1.3727080328417607,1.4147827727136262,1.3727127257423697,0.4064559684459246,0.4101335140625526,0.4064568853823165,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14260125160217285,20611.397866010666,18879.589903593063,1714.7303609848022,20611.255264759064,2,0,0.5,0.1,true,false
5,0.4190974843898363,0.420527562950074,0.4190976620124478,1.435456329554666,1.4147827727136262,1.4354575069047542,0.4124965175960069,0.4101335140625526,0.41249728741352576,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,122.11826252937317,20716.901666879654,18809.65760588646,1767.2199048995972,20594.78340435028,2,0,0.1,0.1,true,true
6,0.42744219372271575,0.420527562950074,0.4274425901689056,1.450450193309166,1.4147827727136262,1.4504517386459987,0.4056118573611154,0.4101335140625526,0.40561222885322157,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14498472213745117,20976.56084704399,19169.269285917282,1790.1533410549164,20976.415862321854,2,0,0.1,0.1,true,false
7,0.41752354441802986,0.420527562950074,0.4175223962758192,1.4302561926139101,1.4147827727136262,1.4302553959568476,0.40942414058134924,0.4101335140625526,0.40942431302993665,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,115.69752717018127,20517.194531917572,18635.206581115723,1748.8614699840546,20401.49700474739,2,0,0.02,0.1,true,true
8,0.421016392085384,0.420527562950074,0.42101758705096404,1.4143460608465581,1.4147827727136262,1.4143496812610223,0.41188278277626766,0.4101335140625526,0.41188323436140895,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14477229118347168,20965.65508389473,19170.912779569626,1776.646283864975,20965.510311603546,2,0,0.02,0.1,true,false
9,0.3714308857542372,0.420527562950074,0.37145438418729193,1.0678838756554523,1.4147827727136262,1.067881536092063,0.36257961626876,0.4101335140625526,0.3625975484127584,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,132.99999475479126,17629.88635492325,16505.61508512497,973.8842470645905,17496.886360168457,4,0,0.0,0.1,true,true
10,0.3867605639871876,0.420527562950074,0.38676103726551214,1.1149576256517397,1.4147827727136262,1.1149572576977071,0.3777825156118202,0.4101335140625526,0.37778292074851527,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14377832412719727,17657.92156291008,16633.291213274002,1007.621572971344,17657.777784585953,4,0,0.0,0.1,true,false
11,0.41215688411568285,0.420527562950074,0.4121573224035213,1.40894990849357,1.4147827727136262,1.4089502515311398,0.406838856602757,0.4101335140625526,0.4068398024402351,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,124.97553133964539,17616.556643009186,16575.774047136307,894.6137111186981,17491.58111166954,4,0,0.5,0.1,true,true
12,0.41061750319693235,0.420527562950074,0.41061804210123176,1.2724707654435123,1.4147827727136262,1.2724707101024988,0.400324178534889,0.4101335140625526,0.40032464357760333,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.1410515308380127,17756.128009080887,16855.10276722908,882.490592956543,17755.98695755005,4,0,0.5,0.1,true,false
13,0.43557783014161555,0.420527562950074,0.4355777399026093,1.4645476811518514,1.4147827727136262,1.4645514470990815,0.4195766792057949,0.4101335140625526,0.41957705171327,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,116.51353406906128,17085.29360103607,16041.069912672043,910.975517988205,16968.78006696701,4,0,0.1,0.1,true,true
14,0.429635925650828,0.420527562950074,0.42963632826290277,1.444494155326593,1.4147827727136262,1.444494937727673,0.4181871249264102,0.4101335140625526,0.418187387734559,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14382195472717285,17531.63555908203,16641.370544195175,873.1537029743195,17531.491737127304,4,0,0.1,0.1,true,false
15,0.4308132273132079,0.420527562950074,0.4308162348369773,1.4122036240782512,1.4147827727136262,1.4122037045704543,0.4154945540974413,0.4101335140625526,0.41549477366994103,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,127.06259512901306,17128.06924009323,16077.304158687592,906.8694791793823,17001.006644964218,4,0,0.02,0.1,true,true
16,0.4274196608686496,0.420527562950074,0.42742034009824037,1.42748644994092,1.4147827727136262,1.4274867542642493,0.41366819123557463,0.4101335140625526,0.41366895789182756,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14192724227905273,17994.77454185486,17051.289890527725,926.1403279304504,17994.63261461258,4,0,0.02,0.1,true,false
17,0.3652434940746101,0.420527562950074,0.3652436236256944,1.015107034275121,1.4147827727136262,1.015107661813845,0.3502038530873448,0.4101335140625526,0.35020425378179354,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,131.65965580940247,15238.833275079727,14345.085517644882,740.011360168457,15107.173619270325,8,0,0.0,0.1,true,true
18,0.36363622941699125,0.420527562950074,0.36363624240831705,1.1431963770413365,1.4147827727136262,1.14319638081359,0.36065579577352325,0.4101335140625526,0.36065583557793524,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.1443471908569336,15616.65951704979,14886.503203868866,708.2674379348755,15616.515169858932,8,0,0.0,0.1,true,false
19,0.40974677929507797,0.420527562950074,0.40974891451297224,1.4079209805066162,1.4147827727136262,1.407921034237555,0.4056786484719046,0.4101335140625526,0.40567775109951687,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,144.47946429252625,14410.75654888153,13380.143987178802,862.5861189365387,14266.277084589005,8,0,0.5,0.1,true,true
20,0.4240830892450098,0.420527562950074,0.4240864801861428,1.4279998589309297,1.4147827727136262,1.4280006919262735,0.41203841039183464,0.4101335140625526,0.41203919932034094,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14301609992980957,14871.28767490387,14136.850005149841,716.8288881778717,14871.14465880394,8,0,0.5,0.1,true,false
21,0.4271465804274124,0.420527562950074,0.4271470934874737,1.43123599577374,1.4147827727136262,1.4312365331651278,0.42122139429084005,0.4101335140625526,0.4212217357635415,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,136.86822390556335,14324.881795883179,13313.418120861053,854.1244370937347,14188.013571977615,8,0,0.1,0.1,true,true
22,0.4336235238710464,0.420527562950074,0.43362390391812733,1.45168051167557,1.4147827727136262,1.451680713772809,0.4196697414237489,0.4101335140625526,0.41967045976326567,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.1434025764465332,15216.637443780899,14535.5385389328,662.2718839645386,15216.494041204453,8,0,0.1,0.1,true,false
23,0.41324136501671793,0.420527562950074,0.41324126101958125,1.4237866044395666,1.4147827727136262,1.4237876327054586,0.4141475646087365,0.4101335140625526,0.41414832440174876,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,136.61813139915466,14520.639706134796,13564.021621465683,798.4088549613953,14384.021574735641,8,0,0.02,0.1,true,true
24,0.41893736122925773,0.420527562950074,0.41893692921072834,1.4309612435253136,1.4147827727136262,1.4309618096071874,0.4145367979259773,0.4101335140625526,0.41453772062333405,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14685988426208496,15825.459903001785,15197.043562173843,611.8418850898743,15825.313043117523,8,0,0.02,0.1,true,false
25,0.3523341805435338,0.420527562950074,0.35233419214358097,1.073590016866948,1.4147827727136262,1.073590023282776,0.3441629281895784,0.4101335140625526,0.34416290868760036,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,128.60095620155334,14398.550925970078,13788.594249010086,456.8895580768585,14269.949969768524,16,0,0.0,0.1,true,true
26,0.3271135246336194,0.420527562950074,0.3271137148342109,0.9183297747456312,1.4147827727136262,0.9183297265542585,0.3088605439579899,0.4101335140625526,0.3088608139077311,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.1418323516845703,14234.01005911827,13755.101528406143,455.60855889320374,14233.868226766586,16,0,0.0,0.1,true,false
27,0.435831857695407,0.420527562950074,0.43583358557623497,1.4551829817092408,1.4147827727136262,1.4551819556306578,0.4123874803184293,0.4101335140625526,0.4123875612409049,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,146.75306129455566,13262.32498884201,12628.152276039124,463.96638798713684,13115.571927547455,16,0,0.5,0.1,true,true
28,0.42845134947506636,0.420527562950074,0.42845165823818476,1.4467927064805792,1.4147827727136262,1.4467931200824546,0.4177415821410797,0.4101335140625526,0.41774179558590885,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.1440873146057129,13332.906354904175,12815.441478013992,493.0036208629608,13332.76226758957,16,0,0.5,0.1,true,false
29,0.43437754020115094,0.420527562950074,0.4343777310416319,1.4561223330242368,1.4147827727136262,1.4561227649859818,0.41789626836367844,0.4101335140625526,0.4178967327699885,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,139.88934016227722,13525.905913829803,12877.392472982407,484.14622592926025,13386.016573667526,16,0,0.1,0.1,true,true
30,0.4270499246093382,0.420527562950074,0.4270497733372174,1.4506992381179824,1.4147827727136262,1.450700198827155,0.41954098668894657,0.4101335140625526,0.4195414069860557,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14243793487548828,14895.958217144012,14539.690398693085,336.19665908813477,14895.815779209137,16,0,0.1,0.1,true,false
31,0.4235153730713712,0.420527562950074,0.42351553145992593,1.449082041366926,1.4147827727136262,1.449083187696675,0.41274508080087435,0.4101335140625526,0.412747929490616,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,128.1571080684662,17595.8748960495,17225.64257788658,225.8021059036255,17467.717787981033,16,0,0.02,0.1,true,true
