a_config,a_profit_train,a_profit_val,a_profit_test,a_profit_RN_train,a_profit_RN_val,a_profit_RN_test,a_profit_RN_train_fc,a_profit_RN_val_fc,a_profit_RN_test_fc,ab_profit_PF_train,ab_profit_PF_val,ab_profit_PF_test,b_train_time,hp_reg,hp_gamma,hp_lr,hp_bs,hp_hl1_units,hp_hl1_act
1,1.4239904880523682,0.4055163562297821,0.41816967725753784,1.4224443435668945,0.4072011411190033,0.41835615038871765,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,88.39391374588013,0,0.1,5e-06,8,24,softplus
2,1.444943904876709,0.41329267621040344,0.3461092412471771,1.4397974014282227,0.4157699942588806,0.42616352438926697,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,157.4615089893341,0,0.1,5e-05,8,24,softplus
3,1.4543777704238892,0.40668442845344543,0.33431893587112427,1.448030948638916,0.40885913372039795,0.42276275157928467,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,227.02748847007751,0,0.3,5e-06,8,24,softplus
4,1.4577158689498901,0.406633198261261,0.3508971929550171,1.4543286561965942,0.4089547395706177,0.4363202154636383,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,166.5328085422516,0,0.3,5e-05,8,24,softplus
5,1.4510797262191772,0.4051741063594818,0.3344317674636841,1.4485995769500732,0.4116087257862091,0.4187990427017212,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,84.42346096038818,0,1,5e-06,8,24,softplus
6,1.4178133010864258,0.3917299807071686,0.4112823009490967,1.4224443435668945,0.4072011411190033,0.41835615038871765,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,49.70855379104614,0,1,5e-05,8,24,softplus
7,1.444397211074829,0.37723344564437866,0.2991662323474884,1.4398735761642456,0.4099613428115845,0.4208436608314514,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,65.79890894889832,0,3,5e-06,8,24,softplus
8,1.442757487297058,0.3758366107940674,0.29631510376930237,1.4516515731811523,0.4100123345851898,0.42249244451522827,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,47.93529295921326,0,3,5e-05,8,24,softplus
9,1.3047202825546265,0.2513081431388855,0.19383549690246582,1.423834204673767,0.410159170627594,0.4194786548614502,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,51.522515535354614,0,10,5e-06,8,24,softplus
10,1.3863351345062256,0.2775769829750061,0.21767860651016235,1.4540858268737793,0.40974053740501404,0.42329663038253784,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,58.72719144821167,0,10,5e-05,8,24,softplus
11,1.4337424039840698,0.40804219245910645,0.33617570996284485,1.4346137046813965,0.4081054627895355,0.42064934968948364,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,85.14434695243835,0,0.1,5e-06,64,24,softplus
12,1.4317626953125,0.40764904022216797,0.33523133397102356,1.429107427597046,0.40845751762390137,0.4213501811027527,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,49.026304960250854,0,0.1,5e-05,64,24,softplus
13,1.4311758279800415,0.4020143449306488,0.3302370309829712,1.4303933382034302,0.4083073139190674,0.4189159870147705,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,52.88897180557251,0,0.3,5e-06,64,24,softplus
14,1.4637176990509033,0.40493348240852356,0.34342360496520996,1.4612033367156982,0.409183531999588,0.42248883843421936,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,81.34612107276917,0,0.3,5e-05,64,24,softplus
15,1.4339951276779175,0.3978599011898041,0.3258572816848755,1.4357706308364868,0.4123559892177582,0.42482084035873413,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,70.35338807106018,0,1,5e-06,64,24,softplus
16,1.4287164211273193,0.3963850140571594,0.32412856817245483,1.4303562641143799,0.4118909239768982,0.4263347387313843,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,42.288477420806885,0,1,5e-05,64,24,softplus
17,1.4132421016693115,0.3686550259590149,0.2904025614261627,1.4344571828842163,0.4101591110229492,0.4202548861503601,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,64.11587619781494,0,3,5e-06,64,24,softplus
18,1.4670982360839844,0.37797418236732483,0.3021087348461151,1.4577220678329468,0.4097643792629242,0.42613929510116577,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,58.86787414550781,0,3,5e-05,64,24,softplus
