a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_time_WS,b_time_all,b_time_opti,b_time_val,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts,hp_ws
11,0.4161325034009282,0.420527562950074,0.41613854501948055,1.4236231026501134,1.4147827727136262,1.4236233906135496,0.4118627651640727,0.4101335140625526,0.41186295442214216,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,12.226842641830444,2032.143082857132,1357.8727822303772,648.5301721096039,2019.9162402153015,4,0,0.5,0.1,true,true
12,0.4181999916198387,0.420527562950074,0.41820085512144844,1.4253962543372163,1.4147827727136262,1.4254006213881851,0.41296851954272773,0.4101335140625526,0.41296959510201847,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.1421213150024414,2028.677976846695,1376.9727346897125,638.1025340557098,2028.5358555316925,4,0,0.5,0.1,true,false
13,0.42326649372621605,0.420527562950074,0.4232700777232372,1.4174201105052955,1.4147827727136262,1.4174206261108955,0.41267437695028586,0.4101335140625526,0.4126749226503803,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,13.730402708053589,1988.909698009491,1331.634425163269,629.9420189857483,1975.1792953014374,4,0,0.1,0.1,true,true
14,0.4245465646107911,0.420527562950074,0.424546230336901,1.4298688257966852,1.4147827727136262,1.4298694496588795,0.41482240126138903,0.4101335140625526,0.414823365764978,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.1418142318725586,1970.9141709804535,1318.8310549259186,638.2659039497375,1970.772356748581,4,0,0.1,0.1,true,false
15,0.4235973627695757,0.420527562950074,0.42359779214891513,1.4227706191347274,1.4147827727136262,1.422769905810517,0.4128633555463108,0.4101335140625526,0.41286448094115835,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,13.590514659881592,2053.2736258506775,1376.1715683937073,650.1151509284973,2039.683111190796,4,0,0.02,0.1,true,true
16,0.4040308825207817,0.420527562950074,0.4040315337338751,1.4033260211263938,1.4147827727136262,1.4033263809335144,0.4125040917832792,0.4101335140625526,0.4125042281738487,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.142608642578125,1998.5017521381378,1360.6249310970306,624.3905110359192,1998.3591434955597,4,0,0.02,0.1,true,false
17,0.3086137347875004,0.420527562950074,0.3086134411645931,1.1096451370076839,1.4147827727136262,1.1096457270403084,0.3100782040760144,0.4101335140625526,0.31007798162245637,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,13.955689907073975,1207.9123010635376,851.7601110935211,329.7567648887634,1193.9566111564636,8,0,0.0,0.1,true,true
18,0.30426207517649884,0.420527562950074,0.304271364575464,1.2069603798918216,1.4147827727136262,1.2069574277464712,0.3046762733107544,0.4101335140625526,0.30477225668957164,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14293122291564941,1171.0284249782562,829.0723984241486,329.0204141139984,1170.8854937553406,8,0,0.0,0.1,true,false
19,0.41906741654436375,0.420527562950074,0.4190676346447022,1.458879114811122,1.4147827727136262,1.4588800626757301,0.4250004164270551,0.4101335140625526,0.42500062109163017,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,16.64198398590088,1193.2222030162811,853.4991371631622,309.80680203437805,1176.5802190303802,8,0,0.5,0.1,true,true
20,0.42822982826500566,0.420527562950074,0.4282303120603197,1.4033665081414233,1.4147827727136262,1.4033680418366208,0.4154983353870836,0.4101335140625526,0.41549921951560687,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.1441338062286377,1185.6228840351105,863.601559638977,308.07104992866516,1185.4787502288818,8,0,0.5,0.1,true,false
21,0.4249608219692531,0.420527562950074,0.4249609223550235,1.4696198677623924,1.4147827727136262,1.469617304320657,0.4167897756360397,0.4101335140625526,0.4167903387126881,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,12.623095989227295,1120.9028038978577,781.2933537960052,313.85498785972595,1108.2797079086304,8,0,0.1,0.1,true,true
22,0.4336617379005143,0.420527562950074,0.43366202593699343,1.4410646762889199,1.4147827727136262,1.44106540041515,0.4197318771231715,0.4101335140625526,0.4197321861423773,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14235210418701172,1133.6326959133148,802.6282026767731,317.6004469394684,1133.4903438091278,8,0,0.1,0.1,true,false
23,0.423629828808995,0.420527562950074,0.42363019916501643,1.4303238487394063,1.4147827727136262,1.4303243295305492,0.41204169983280226,0.4101335140625526,0.4120423373115851,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,12.698612451553345,1184.1653180122375,846.3052558898926,311.4603600502014,1171.4667055606842,8,0,0.02,0.1,true,true
24,0.4190205809594587,0.420527562950074,0.4190212059385834,1.4281929752246354,1.4147827727136262,1.4281930480973748,0.41197939816071716,0.4101335140625526,0.4119798713187821,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14288997650146484,1157.2260291576385,822.679609298706,320.87309193611145,1157.083139181137,8,0,0.02,0.1,true,false
25,0.2984309629833468,0.420527562950074,0.298431270277957,1.2829889101170568,1.4147827727136262,1.2829908426363898,0.31756314518282336,0.4101335140625526,0.3175643144784799,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,26.89414095878601,887.0715839862823,685.3785533905029,162.2582709789276,860.1774430274963,16,0,0.0,0.1,true,true
26,0.3241959825234353,0.420527562950074,0.3241984525380839,1.2371818054752435,1.4147827727136262,1.2371881976519594,0.31405500055442226,0.4101335140625526,0.3140589051628542,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.1452500820159912,902.8949959278107,720.9544417858124,169.08819699287415,902.7497458457947,16,0,0.0,0.1,true,false
