a_config,a_profit_train,a_profit_val,a_profit_test,a_profit_train_fc,a_profit_val_fc,a_profit_test_fc,ab_profit_PF_train,ab_profit_PF_val,ab_profit_PF_test,b_train_time_per_epoch,b_train_time_forward,b_train_time_backward,b_train_time_val,hp_reg,hp_gamma,hp_lr,hp_bs,hp_ws,smoothing,loss,framework,,regret_val,regret_test,train_time
51,-1.427111745,-0.410416305,-0.418764949,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.79025507,6.38513967,2.004608299,6.249461029,0,0.1,0.0001,64,TRUE,logBar,profit,ID,,,,
55,-1.427111745,-0.410416305,-0.418764949,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.30062446,6.758877771,1.747823519,5.719889675,0,0.3,0.0001,64,TRUE,logBar,profit,ID,,,,
59,-1.426140666,-0.410414517,-0.417706519,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.34267287,6.627380062,1.937765404,6.503447118,0,1,0.0001,64,TRUE,logBar,profit,ID,,,,
1,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,20.39293925,2.014875082,0.494275079,5.222156703,0,0.001,0.01,8,TRUE,logBar,profit,ID,,,,
2,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,19.05654561,0.972881174,0.60721302,5.896171451,0,0.001,0.001,8,TRUE,logBar,profit,ID,,,,
5,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,18.47488645,1.687086143,0.498519523,5.127968299,0,0.003,0.01,8,TRUE,logBar,profit,ID,,,,
6,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,18.69808397,0.934901326,0.617282329,5.800854445,0,0.003,0.001,8,TRUE,logBar,profit,ID,,,,
7,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,18.38206882,1.064534532,0.482477771,6.002028863,0,0.003,0.0001,8,TRUE,logBar,profit,ID,,,,
9,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.47879081,0.94286468,0.279641558,3.40304609,0,0.01,0.01,8,TRUE,logBar,profit,ID,,,,
10,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,18.53607566,1.067188113,0.609681597,5.722203378,0,0.01,0.001,8,TRUE,logBar,profit,ID,,,,
11,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.55624124,0.963952533,0.481031727,5.429710318,0,0.01,0.0001,8,TRUE,logBar,profit,ID,,,,
13,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.16628946,1.01942681,0.40380298,5.296289072,0,0.03,0.01,8,TRUE,logBar,profit,ID,,,,
14,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.95254977,1.045062586,0.55213794,5.556330566,0,0.03,0.001,8,TRUE,logBar,profit,ID,,,,
15,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.63803077,1.036472374,0.385873706,6.225341373,0,0.03,0.0001,8,TRUE,logBar,profit,ID,,,,
17,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.33956416,0.991961835,0.304495694,6.083056488,0,0.1,0.01,8,TRUE,logBar,profit,ID,,,,
18,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.39474861,1.006654183,0.390527743,5.758090434,0,0.1,0.001,8,TRUE,logBar,profit,ID,,,,
19,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.26637093,1.039504952,0.351948694,6.073227353,0,0.1,0.0001,8,TRUE,logBar,profit,ID,,,,
21,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.76413362,1.001098021,0.228263843,4.594033265,0,0.3,0.01,8,TRUE,logBar,profit,ID,,,,
22,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.33598926,1.109602045,0.358159463,5.937523065,0,0.3,0.001,8,TRUE,logBar,profit,ID,,,,
23,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,16.63648109,1.003796975,0.308209737,5.232057916,0,0.3,0.0001,8,TRUE,logBar,profit,ID,,,,
25,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,16.8772256,1.095094218,0.246676291,5.904276027,0,1,0.01,8,TRUE,logBar,profit,ID,,,,
26,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,16.78940753,1.098889722,0.285522223,6.166386286,0,1,0.001,8,TRUE,logBar,profit,ID,,,,
27,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.19760962,1.058680102,0.309262408,6.191309364,0,1,0.0001,8,TRUE,logBar,profit,ID,,,,
29,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,16.86992185,1.092620182,0.248761113,6.11746676,0,3,0.01,8,TRUE,logBar,profit,ID,,,,
30,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,16.43846137,1.007116079,0.242903294,5.829877641,0,3,0.001,8,TRUE,logBar,profit,ID,,,,
31,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,16.81613269,1.089023043,0.252290514,6.13287403,0,3,0.0001,8,TRUE,logBar,profit,ID,,,,
33,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.03792073,6.903689012,2.13913921,5.863110624,0,0.001,0.01,64,TRUE,logBar,profit,ID,,,,
34,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,13.84743083,6.653889647,2.137739323,4.929345943,0,0.001,0.001,64,TRUE,logBar,profit,ID,,,,
37,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.79045052,6.84421885,2.156637464,5.587733558,0,0.003,0.01,64,TRUE,logBar,profit,ID,,,,
38,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.44389445,6.457982293,2.155012961,5.707812451,0,0.003,0.001,64,TRUE,logBar,profit,ID,,,,
41,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.73235386,6.795617695,2.093325686,5.636255229,0,0.01,0.01,64,TRUE,logBar,profit,ID,,,,
42,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,13.9014575,6.624573672,2.007222123,5.079118402,0,0.01,0.001,64,TRUE,logBar,profit,ID,,,,
45,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.6168233,6.528447363,2.229224956,5.703741709,0,0.03,0.01,64,TRUE,logBar,profit,ID,,,,
46,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.82578057,6.711069672,1.865480917,5.981928746,0,0.03,0.001,64,TRUE,logBar,profit,ID,,,,
49,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,13.96101138,6.725913825,2.087552336,5.01805596,0,0.1,0.01,64,TRUE,logBar,profit,ID,,,,
50,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.38405882,6.680125245,2.067104543,5.514747929,0,0.1,0.001,64,TRUE,logBar,profit,ID,,,,
