a_config,a_profit_train,a_profit_val,a_profit_test,a_profit_train_fc,a_profit_val_fc,a_profit_test_fc,ab_profit_PF_train,ab_profit_PF_val,ab_profit_PF_test,b_train_time_per_epoch,b_train_time_forward,b_train_time_backward,b_train_time_val,hp_reg,hp_gamma,hp_lr,hp_bs,hp_ws,smoothing,loss,framework,hp_hl1_units,hp_hl1_act,,regret_val,regret_test,train_time
12,-1.420999765,-0.408435702,-0.419843316,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.93958231,1.055567052,0.409330462,6.316241026,0,0.01,1.00E-05,8,TRUE,logBar,profit,ID,24,softplus,,,,
24,-1.420999765,-0.408435702,-0.419843316,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.40648094,0.989272518,0.297020061,6.075442101,0,0.3,1.00E-05,8,TRUE,logBar,profit,ID,24,softplus,,,,
63,-1.428724766,-0.408375114,-0.422445118,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.73973325,6.748168996,1.817093015,5.939362092,0,3,0.0001,64,TRUE,logBar,profit,ID,24,softplus,,,,
64,-1.428724766,-0.408375114,-0.422445118,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.80295788,6.644749698,1.916494784,6.155193116,0,3,1.00E-05,64,TRUE,logBar,profit,ID,24,softplus,,,,
16,-1.420999765,-0.408282429,-0.419843316,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,18.24932039,1.010693312,0.359482935,6.60121945,0,0.03,1.00E-05,8,TRUE,logBar,profit,ID,24,softplus,,,,
20,-1.420999765,-0.408282429,-0.419843316,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.71623323,1.070819199,0.344844401,6.093069979,0,0.1,1.00E-05,8,TRUE,logBar,profit,ID,24,softplus,,,,
1,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,19.77867889,1.151063629,0.476536677,5.632027723,0,0.001,0.01,8,TRUE,logBar,profit,ID,24,softplus,,,,
2,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,20.05169265,1.052897439,0.650403941,6.300997271,0,0.001,0.001,8,TRUE,logBar,profit,ID,24,softplus,,,,
5,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,16.34291186,1.059838446,0.377770129,4.362345792,0,0.003,0.01,8,TRUE,logBar,profit,ID,24,softplus,,,,
6,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,19.77195835,1.067039446,0.598416964,6.159535664,0,0.003,0.001,8,TRUE,logBar,profit,ID,24,softplus,,,,
9,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,44.41348401,8.889615459,0.38202325,3.18513256,0,0.01,0.01,8,TRUE,logBar,profit,ID,24,softplus,,,,
10,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,19.71757961,1.056806211,0.578210045,6.734572534,0,0.01,0.001,8,TRUE,logBar,profit,ID,24,softplus,,,,
11,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,18.8932841,1.096672067,0.446398073,6.402326028,0,0.01,0.0001,8,TRUE,logBar,profit,ID,24,softplus,,,,
13,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,22.19629257,1.102915001,0.489994156,6.187044203,0,0.03,0.01,8,TRUE,logBar,profit,ID,24,softplus,,,,
14,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,19.28548221,1.09556335,0.579210167,6.249484292,0,0.03,0.001,8,TRUE,logBar,profit,ID,24,softplus,,,,
