a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_max_mem,b_n_iters,b_time_WS,b_time_all,b_time_opti,b_time_val,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts,hp_ws
1,2.0899544455843695e-5,0.011612474947954513,2.0907607300382422e-5,0.3841975318167654,0.9037599060786601,0.3841947886985153,0.014821177825950382,0.029506482140283872,0.014821208478899926,0.014138887661646584,1.1028923392500452,0.029874075561410803,1,690640645,1,0.0989999771118164,25.194000005722046,19.64800000190735,1.437000036239624,25.09500002861023,2,0,0.1,0.1,true,false
2,0.011612585980597813,0.011612474947954513,0.011612595986955266,0.9041680752484704,0.9037599060786601,0.9041681083120543,0.029500751380856994,0.029506482140283872,0.029500783078937262,0.014138887661646584,1.1028923392500452,0.029874075561410803,1,766316784,1,0.0,24.04800009727478,20.16100001335144,1.2979998588562012,24.04800009727478,4,0,0.1,0.1,true,false
3,0.011672927708892599,0.011612474947954513,0.011672952054647332,0.9042737364301523,0.9037599060786601,0.9042741801743199,0.02950637760940483,0.029506482140283872,0.02950639699817587,0.014138887661646584,1.1028923392500452,0.029874075561410803,1,845958608,1,0.0,25.477999925613403,21.6010000705719,1.1779999732971191,25.477999925613403,8,0,0.1,0.1,true,false
4,0.011612451755960037,0.011612474947954513,0.011612466881729119,0.9031163616448095,0.9037599060786601,0.9031195800082825,0.029506376546207323,0.029506482140283872,0.029506414826743637,0.014138887661646584,1.1028923392500452,0.029874075561410803,1,1056296912,1,0.0,37.84299993515015,34.020999908447266,1.187000036239624,37.84299993515015,16,0,0.1,0.1,true,false
5,0.011612492902662478,0.011612474947954513,0.011612505705537597,0.9061366460951641,0.9037599060786601,0.9061376593001107,0.029506420755528603,0.029506482140283872,0.029506451395219832,0.014138887661646584,1.1028923392500452,0.029874075561410803,1,1342140640,1,0.0,51.90700006484985,47.90499997138977,1.252000093460083,51.90700006484985,32,0,0.1,0.1,true,false
6,0.011612501623210612,0.011612474947954513,0.011612513890807676,0.9063302193613811,0.9037599060786601,0.906331592758725,0.029506392994184658,0.029506482140283872,0.029506424747538007,0.014138887661646584,1.1028923392500452,0.029874075561410803,1,1925481392,1,0.0,84.12000012397766,80.0699999332428,1.2349998950958252,84.12000012397766,64,0,0.1,0.1,true,false
