a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_max_mem,b_n_iters,b_time_WS,b_time_all,b_time_opti,b_time_val,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts,hp_ws
1,0.011612425876720083,0.011612474947954513,0.0116124427975603,0.9037643075980921,0.9037599060786601,0.9037627381032776,0.02950636757433297,0.029506482140283872,0.0295063972456418,0.014138887661646584,1.1028923392500452,0.029874075561410803,1,27992401,1,0.0989999771118164,67.33400011062622,52.97200012207031,9.251000165939331,67.2350001335144,2,0,0.1,0.1,true,false
2,0.011612405509262874,0.011612474947954513,0.011612418523188225,0.9006312615309544,0.9037599060786601,0.9006317778154238,0.029506469049901722,0.029506482140283872,0.029506494821268194,0.014138887661646584,1.1028923392500452,0.029874075561410803,1,28007616,1,0.0,41.28499984741211,33.12600088119507,4.662999868392944,41.28499984741211,4,0,0.1,0.1,true,false
3,0.011673007069917758,0.011612474947954513,0.011673025676674267,0.9039400156175064,0.9037599060786601,0.9039431054369049,0.029506542346735873,0.029506482140283872,0.029506567664891924,0.014138887661646584,1.1028923392500452,0.029874075561410803,1,32124896,1,0.0,25.980000019073486,20.21500015258789,2.3309998512268066,25.980000019073486,8,0,0.1,0.1,true,false
4,0.011612471296557675,0.011612474947954513,0.011612486115947741,0.9049028167597073,0.9037599060786601,0.9049043339260416,0.029506522995124726,0.029506482140283872,0.0295065417510122,0.014138887661646584,1.1028923392500452,0.029874075561410803,1,38801264,1,0.0,24.76200008392334,20.030999898910522,1.2339999675750732,24.76200008392334,16,0,0.1,0.1,true,false
5,0.01161246221405653,0.011612474947954513,0.011612477693512771,0.9030818050447302,0.9037599060786601,0.9030793472235898,0.02950638134070837,0.029506482140283872,0.02950641341549531,0.014138887661646584,1.1028923392500452,0.029874075561410803,1,50142592,1,0.0,21.676000118255615,17.685999870300293,0.6319999694824219,21.676000118255615,32,0,0.1,0.1,true,false
6,0.01161250123021922,0.011612474947954513,0.01161251354850501,0.9030284990753099,0.9037599060786601,0.9030283472495086,0.02950637808835498,0.029506482140283872,0.029506410226926034,0.014138887661646584,1.1028923392500452,0.029874075561410803,1,79257984,1,0.0,24.521000146865845,20.94000005722046,0.3000001907348633,24.521000146865845,64,0,0.1,0.1,true,false
