ds,median,lo-90,hi-90
2022-11-01 00:00:00,93.82964324951172,76.71644592285156,112.05510711669922
2022-11-01 01:00:00,89.8480224609375,68.83201599121094,107.08448791503906
2022-11-01 02:00:00,87.06975555419922,55.87515640258789,100.60334777832031
2022-11-01 03:00:00,87.29150390625,55.38324737548828,103.09471130371094
2022-11-01 04:00:00,91.35572814941406,62.93528747558594,114.08116912841797
2022-11-01 05:00:00,104.3607406616211,78.25162506103516,128.9721221923828
2022-11-01 06:00:00,118.35419464111328,91.96917724609375,146.3380126953125
2022-11-01 07:00:00,128.0743408203125,96.16899108886719,154.75390625
2022-11-01 08:00:00,127.43392944335938,90.66979217529297,156.11390686035156
2022-11-01 09:00:00,118.92338562011719,79.32974243164062,151.19772338867188
2022-11-01 10:00:00,106.31066131591797,68.04365539550781,143.4248046875
2022-11-01 11:00:00,100.16789245605469,51.96961212158203,134.4000244140625
2022-11-01 12:00:00,96.16145324707031,46.04136657714844,128.25753784179688
2022-11-01 13:00:00,95.05815124511719,50.35099792480469,125.64443969726562
2022-11-01 14:00:00,99.25283813476562,62.40092849731445,131.5806427001953
2022-11-01 15:00:00,109.46427154541016,79.03111267089844,148.3595428466797
2022-11-01 16:00:00,131.63272094726562,96.47883605957031,168.48768615722656
2022-11-01 17:00:00,150.5647735595703,112.18603515625,188.33596801757812
2022-11-01 18:00:00,156.79745483398438,114.9992904663086,197.998291015625
2022-11-01 19:00:00,150.43844604492188,111.82740020751953,190.2769012451172
2022-11-01 20:00:00,132.20169067382812,94.49493408203125,172.28768920898438
2022-11-01 21:00:00,113.0641098022461,77.44812774658203,148.0513916015625
2022-11-01 22:00:00,100.96100616455078,62.053749084472656,131.55799865722656
2022-11-01 23:00:00,93.34709167480469,51.154571533203125,121.56514739990234
2022-11-02 00:00:00,96.9362564086914,78.5513916015625,113.23477172851562
2022-11-02 01:00:00,93.59748840332031,70.90473937988281,109.45388793945312
2022-11-02 02:00:00,90.96672058105469,59.29190444946289,104.63179016113281
2022-11-02 03:00:00,92.9607925415039,62.10839080810547,110.35282897949219
2022-11-02 04:00:00,100.697021484375,74.46418762207031,125.01039123535156
2022-11-02 05:00:00,117.6329574584961,94.21578979492188,144.25021362304688
2022-11-02 06:00:00,134.80604553222656,110.91747283935547,166.25457763671875
2022-11-02 07:00:00,145.2916259765625,116.3205795288086,175.51370239257812
2022-11-02 08:00:00,143.50076293945312,110.30882263183594,176.2867431640625
2022-11-02 09:00:00,133.3711700439453,98.65668487548828,169.72393798828125
2022-11-02 10:00:00,120.6731185913086,86.84888458251953,160.1691131591797
2022-11-02 11:00:00,114.80838012695312,71.81599426269531,150.33070373535156
2022-11-02 12:00:00,109.75092315673828,68.77456665039062,143.2803497314453
2022-11-02 13:00:00,109.14612579345703,73.71881103515625,140.92327880859375
2022-11-02 14:00:00,114.8323974609375,82.92929077148438,148.73385620117188
2022-11-02 15:00:00,124.8331069946289,96.5320053100586,165.7196807861328
2022-11-02 16:00:00,145.60015869140625,110.37996673583984,186.32586669921875
2022-11-02 17:00:00,162.8191680908203,121.45362854003906,204.6085205078125
2022-11-02 18:00:00,166.85055541992188,120.44698333740234,210.4835205078125
2022-11-02 19:00:00,157.91378784179688,115.54853057861328,199.33065795898438
2022-11-02 20:00:00,137.7040557861328,97.73953247070312,178.68075561523438
2022-11-02 21:00:00,116.80522918701172,82.06687927246094,151.16273498535156
2022-11-02 22:00:00,104.88260650634766,66.49408721923828,135.30239868164062
2022-11-02 23:00:00,97.7052230834961,55.560142517089844,126.0751953125
2022-11-03 00:00:00,69.92329406738281,52.23049545288086,83.89932250976562
2022-11-03 01:00:00,66.16808319091797,43.708919525146484,80.86650848388672
2022-11-03 02:00:00,61.326171875,29.70543670654297,75.32698059082031
2022-11-03 03:00:00,61.191368103027344,32.41468811035156,78.31209564208984
2022-11-03 04:00:00,63.319862365722656,38.814476013183594,90.87997436523438
2022-11-03 05:00:00,82.42755126953125,61.631187438964844,109.81158447265625
2022-11-03 06:00:00,104.5222396850586,83.2235336303711,134.36294555664062
2022-11-03 07:00:00,120.10152435302734,92.14932250976562,149.0419464111328
2022-11-03 08:00:00,119.96028900146484,92.15385437011719,151.71820068359375
2022-11-03 09:00:00,109.92945861816406,83.45052337646484,146.89346313476562
2022-11-03 10:00:00,101.54365539550781,74.8681640625,135.91867065429688
2022-11-03 11:00:00,97.28145599365234,62.793888092041016,130.28204345703125
2022-11-03 12:00:00,92.64752960205078,61.53907775878906,126.5882797241211
2022-11-03 13:00:00,94.10768127441406,66.8756103515625,125.80625915527344
2022-11-03 14:00:00,96.11375427246094,71.00537872314453,128.0203857421875
2022-11-03 15:00:00,100.95709228515625,79.42439270019531,139.8300323486328
2022-11-03 16:00:00,114.71009826660156,90.66929626464844,150.52725219726562
2022-11-03 17:00:00,129.83470153808594,98.69757843017578,166.82225036621094
2022-11-03 18:00:00,136.210205078125,103.29425811767578,178.31263732910156
2022-11-03 19:00:00,130.99705505371094,101.87133026123047,170.10092163085938
2022-11-03 20:00:00,116.18867492675781,88.52764129638672,153.35861206054688
2022-11-03 21:00:00,99.64949035644531,77.07154846191406,129.20846557617188
2022-11-03 22:00:00,90.47315979003906,65.98072814941406,116.79127502441406
2022-11-03 23:00:00,82.38130187988281,54.41502380371094,108.78466796875
2022-11-04 00:00:00,107.39432525634766,92.47748565673828,122.6068115234375
2022-11-04 01:00:00,104.25186157226562,84.93634033203125,121.82879638671875
2022-11-04 02:00:00,101.41670227050781,73.5533218383789,114.27049255371094
