a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_time_WS,b_time_all,b_time_opti,b_time_val,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts,hp_ws
17,0.3240202569849502,0.420527562950074,0.32402036183525085,1.0965396777499974,1.4147827727136262,1.09653965543919,0.3184242106683366,0.4101335140625526,0.318424240223792,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,121.70475125312805,6440.689816951752,5903.887918710709,397.59488701820374,6318.985065698624,8,0,0.0,0.1,true,true
18,0.32443671937624785,0.420527562950074,0.3244441532953063,1.3060563582307076,1.4147827727136262,1.30605232997938,0.31793265980336416,0.4101335140625526,0.3179390142582921,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14637374877929688,6438.121268987656,6041.0677988529205,380.7186989784241,6437.974895238876,8,0,0.0,0.1,true,false
19,0.42419840092137906,0.420527562950074,0.4241989183950192,1.442119896312796,1.4147827727136262,1.442120475482246,0.41888733620896246,0.4101335140625526,0.418888044559927,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,130.50298166275024,6038.195040941238,5412.634700298309,475.8785409927368,5907.692059278488,8,0,0.5,0.1,true,true
20,0.4121595758406704,0.420527562950074,0.4121621941326974,1.434214310825551,1.4147827727136262,1.4342156828795227,0.4119717363749822,0.4101335140625526,0.4119733691894807,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14273905754089355,6200.852689027786,5789.053508281708,394.0820121765137,6200.709949970245,8,0,0.5,0.1,true,false
21,0.4404622935120919,0.420527562950074,0.4404625611963704,1.4558845067742432,1.4147827727136262,1.4558867282661225,0.41794442433263823,0.4101335140625526,0.41794499979590904,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,121.26287865638733,5906.8388340473175,5259.751290559769,506.4994490146637,5785.57595539093,8,0,0.1,0.1,true,true
22,0.4361391882986585,0.420527562950074,0.4361395360628604,1.4433960253880151,1.4147827727136262,1.4433965405248022,0.4214469374354548,0.4101335140625526,0.4214474853685173,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14279913902282715,6191.147369146347,5765.6053721904755,405.8771879673004,6191.004570007324,8,0,0.1,0.1,true,false
23,0.42132612636275746,0.420527562950074,0.42132534291553747,1.42624324724336,1.4147827727136262,1.426243194284618,0.41354855745545005,0.4101335140625526,0.4135500272239301,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,129.27729392051697,5779.886408805847,5069.082119226456,560.0651021003723,5650.60911488533,8,0,0.02,0.1,true,true
24,0.41817276224209987,0.420527562950074,0.4181729061904511,1.4269532151431092,1.4147827727136262,1.4269547356590757,0.41548550034925547,0.4101335140625526,0.4154860971421499,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14310288429260254,7353.882710933685,6983.816924095154,353.8999240398407,7353.739608049393,8,0,0.02,0.1,true,false
25,0.35654459786364634,0.420527562950074,0.35654476806638313,1.3136129353574972,1.4147827727136262,1.3136130413530651,0.35375009590647855,0.4101335140625526,0.3537502566022377,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,121.90376210212708,6164.888101100922,5813.692281961441,212.18225479125977,6042.984338998795,16,0,0.0,0.1,true,true
26,0.33195468812527196,0.420527562950074,0.3319547292512106,1.2588054434096874,1.4147827727136262,1.2588055346635283,0.3289908750182655,0.4101335140625526,0.32899084440626947,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14485692977905273,5878.390412807465,5583.377260923386,276.59326004981995,5878.245555877686,16,0,0.0,0.1,true,false
27,0.421800556329623,0.420527562950074,0.4217974189921161,1.407530048773551,1.4147827727136262,1.4075306980283848,0.41228191766150113,0.4101335140625526,0.4122829095108409,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,120.33909869194031,5437.999053955078,4986.306941986084,313.93361496925354,5317.659955263138,16,0,0.5,0.1,true,true
28,0.4180560384651446,0.420527562950074,0.41805631095072004,1.48489323932246,1.4147827727136262,1.4848946095466422,0.41570130096592406,0.4101335140625526,0.4157021798857672,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14353609085083008,5731.1381368637085,5456.666178941727,254.38822388648987,5730.994600772858,16,0,0.5,0.1,true,false
29,0.42364993146966023,0.420527562950074,0.42365019431526063,1.4521556217257672,1.4147827727136262,1.4521556802448181,0.418739456573725,0.4101335140625526,0.41873999310958876,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,114.96339917182922,5435.526028871536,4998.080924987793,301.4512228965759,5320.562629699707,16,0,0.1,0.1,true,true
30,0.42987014619938857,0.420527562950074,0.4298704653072538,1.450344065302672,1.4147827727136262,1.4503450217026974,0.41818118354749423,0.4101335140625526,0.4181816626054691,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14368581771850586,5846.647419929504,5577.399355888367,248.00768303871155,5846.503734111786,16,0,0.1,0.1,true,false
